iter	MultiClassOneVsAll
0	-0.6698559577
1	-0.6468483081
2	-0.6258355637
3	-0.6054571408
4	-0.5861509378
5	-0.5685970532
6	-0.5520586877
7	-0.5363010059
8	-0.5206599508
9	-0.5057447889
10	-0.4915678442
11	-0.4780322928
12	-0.4644566164
13	-0.4520191293
14	-0.4395243398
15	-0.4275141547
16	-0.4160894703
17	-0.405038866
18	-0.3945136856
19	-0.3843754814
20	-0.3745684805
21	-0.3654688602
22	-0.3565803635
23	-0.3478179161
24	-0.3394238718
25	-0.3313141696
26	-0.3234513398
27	-0.3159337379
28	-0.308609971
29	-0.3015541177
30	-0.294765517
31	-0.288190464
32	-0.2818652774
33	-0.2757093247
34	-0.2697844727
35	-0.2640814212
36	-0.2585427546
37	-0.2531708947
38	-0.2479542365
39	-0.2429368722
