iter	Passed	Remaining
0	195	195547
1	388	193699
2	601	199837
3	805	200618
4	1001	199281
5	1191	197470
6	1393	197649
7	1589	197078
8	1784	196440
9	1979	195972
10	2173	195410
11	2369	195052
12	2560	194413
13	2780	195843
14	3020	198344
15	3228	198555
16	3423	197965
17	3624	197714
18	3831	197824
19	4030	197475
20	4226	197024
21	4422	196585
22	4615	196058
23	4812	195719
24	5002	195084
25	5198	194729
26	5397	194508
27	5592	194123
28	5793	193975
29	5985	193525
30	6185	193335
31	6389	193278
32	6583	192911
33	6784	192754
34	6988	192693
35	7189	192531
36	7390	192357
37	7588	192114
38	7787	191901
39	8022	192538
